"forecast_summary","today_comment","tomorrow_comment","extended_comment","forecast_summary_es","today_comment_es","tomorrow_comment_es","extended_comment_es"
"Strong winds from the NE expected to continue today, but maximum smoke concentrations should remain aloft. Expect GOOD air quality at the surface.","Maximum smoke concentrations should remain above surface level throughout the day.","Strong winds die down today. Smoke production anticipated to remain minimal and air quality to remain GOOD.","Established wind pattern from this week is expected to reverse and funnel air in from the ocean. This should bring higher humidity values into the area which is expected to suppress fire activity.","Se espera que los fuertes vientos del NE continúen hoy, pero las máximas concentraciones de humo deberían permanecer en altitud. Espere una calidad del aire BUENA en la superficie.","Las concentraciones máximas de humo deberían permanecer por encima del nivel de la superficie durante todo el día.","Los vientos fuertes disminuyen hoy. Se anticipa que la producción de humo permanezca mínima y la calidad del aire se mantenga BUENA.","Se espera que el patrón de viento establecido de esta semana se invierta y canalice el aire desde el océano. Esto debería traer valores de humedad más altos a la zona, lo que se espera que suprima la actividad de los incendios."
"Light haze this AM with limited smoke impacts.  ","","","","Ligera neblina esta mañana con impactos limitados de humo.","","",""
"NE winds will push interior smoke sources to the west, bringing short periods of haze and MODERATE impacts. ","Low winds may bring MOD smoke pooling in the canyon tonight","Return of SW winds predicted","Increasing humidity with low potential for wetting rains.","Los vientos del NE empujarán las fuentes de humo del interior hacia el oeste, trayendo períodos cortos de neblina e impactos MODERADOS.","Los vientos bajos pueden causar acumulación de humo MODERADA en el cañón esta noche.","Regreso de vientos del suroeste pronosticado.","Aumento de la humedad con bajo potencial para lluvias que mojen."
"Overnight smoke pooling expected to mix during daytime hours. Generally GOOD air quality conditions expected.","Haze is likely with limited surface smoke impacts. Expect daytime concentrations to be GOOD and a slight increase to MODERATE in the evening hours and overnight.","The established wind pattern from the last few days will end. Smoke expected in the early morning and late evening hours.","Humidity values expected to increase into the weekend and suppress new fire activity.","Se espera acumulación de humo durante la noche que se mezclará durante las horas del día. En general, se esperan condiciones de calidad del aire BUENO.","Es probable que haya neblina con impactos limitados de humo en la superficie. Espere que las concentraciones diurnas sean BUENAS y un ligero aumento a MODERADA en las horas de la tarde y durante la noche.","El patrón de viento establecido en los últimos días terminará. Se espera humo en las primeras horas de la mañana y en las últimas horas de la tarde.","Se espera que los valores de humedad aumenten durante el fin de semana y supriman la actividad de nuevos incendios."
"Expect generally hazy visibility conditions throughout the day, but GOOD air quality conditions.","Primary smoke impacts expected to remain at terrain height with generally GOOD air quality at the surface.","Smoke concentration maximums expected to remain lofted.","Flow from the ocean towards the LA Basin expected to increase relative humidity values and suppress new fire activity and smoke production.","Espere condiciones de visibilidad generalmente brumosas durante el día, pero condiciones de calidad del aire BUENO.","Se espera que los principales impactos del humo permanezcan a la altura del terreno con una calidad del aire generalmente BUENA en la superficie.","Se espera que los máximos de concentración de humo permanezcan elevados.","Se espera que el flujo desde el océano hacia la cuenca de LA aumente los valores de humedad relativa y suprima la actividad de nuevos incendios y la producción de humo."
"Light haze this AM with improving conditions throughout the day.  Low potential for offshore smoke to return to the area as winds decrase tonight. ","Winds this AM will increase suspended blowing ash and debris. ","Return of SW winds to the area","Increased humidities and small chance of wetting rain. ","Ligera neblina esta mañana con mejoras en las condiciones a lo largo del día. Bajo potencial de que el humo marino regrese a la zona a medida que los vientos disminuyan esta noche.","Los vientos de esta mañana aumentarán la ceniza y los escombros suspendidos en el aire.","Regreso de los vientos del suroeste a la zona","Aumento de la humedad y pequeña posibilidad de lluvia que moje."
"NE winds will help channel the smoke towards the coast for most of the day. Limited potential for additional smoke from Eaton fire. ","Potential for hazy MODERATE surface conditions tonight","","Increasing humidity with limited potential for wetting rains. ","Los vientos del NE ayudarán a canalizar el humo hacia la costa durante la mayor parte del día. Potencial limitado para humo adicional del incendio de Eaton.","Potencial para condiciones superficiales MODERADAS y brumosas esta noche.","","Aumento de la humedad con potencial limitado para lluvias que mojen."
"NE winds will push interior smoke sources to the west, bringing short periods of haze and MODERATE impacts. ","Low winds may bring MOD smoke pooling in the canyon tonight","Return of SW winds predicted","Increasing humidity with low potential for wetting rains.","Los vientos del NE empujarán las fuentes de humo del interior hacia el oeste, trayendo períodos cortos de neblina e impactos MODERADOS.","Los vientos bajos pueden provocar acumulación de humo MODERADA en el cañón esta noche.","Regreso de vientos del suroeste pronosticado","Aumento de la humedad con bajo potencial de lluvias que mojen."
"N-NE winds will continue to sweep smoke concentrations offshore until this afternoon.  Expect a lull in wind conditions this evening, and a light inversion layer that will hold smoke concentrations closer to the surface tonight. ","Return of hazy skies and MOD after today's wind event passes","SW winds predicted bringing offshore smoke back into the area","Higher humidity and low chance of precipitation","Los vientos del N-NE continuarán llevando las concentraciones de humo hacia mar adentro hasta esta tarde. Espere una calma en las condiciones del viento esta noche, y una ligera capa de inversión que mantendrá las concentraciones de humo más cerca de la superficie esta noche.","Regreso de cielos brumosos y calidad de aire MODERADA después de que pase el evento de viento de hoy.","Se pronostican vientos del SO que traerán de vuelta el humo marítimo a la zona.","Mayor humedad y baja probabilidad de precipitación"
"Light haze this AM with limited smoke impacts.  ","","","","Ligera neblina esta mañana con impactos limitados de humo.","","",""
"N-NE winds will continue to sweep smoke concentrations offshore until this afternoon.  Expect a lull in wind conditions this evening, and a light inversion layer that will hold smoke concentrations closer to the surface tonight. ","Return of hazy skies and MOD after today's wind event passes","SW winds predicted bringing offshore smoke back into the area","Higher humidity and low chance of precipitation","Los vientos del N-NE continuarán desplazando las concentraciones de humo hacia mar abierto hasta esta tarde. Espere una disminución en las condiciones del viento esta noche, y una ligera capa de inversión que mantendrá las concentraciones de humo más cerca de la superficie esta noche.","Regreso de cielos brumosos y calidad del aire MODERADA después de que pase el evento de viento de hoy.","Se pronostican vientos del SO que traerán de vuelta el humo marítimo hacia el área.","Mayor humedad y baja probabilidad de precipitación."
"NE winds will help channel the smoke towards the coast for most of the day. Limited potential for additional smoke from Eaton fire. ","Potential for hazy MODERATE surface conditions tonight","","Increasing humidity with limited potential for wetting rains. ","Los vientos del NE ayudarán a canalizar el humo hacia la costa durante la mayor parte del día. Potencial limitado para humo adicional del incendio Eaton.","Potencial para condiciones superficiales MODERADAS y brumosas esta noche.","","Aumento de la humedad con potencial limitado para lluvias que humedezcan."
"Light haze this AM with improving conditions throughout the day.  Low potential for offshore smoke to return to the area as winds decrase tonight. ","Winds this AM will increase suspended blowing ash and debris. ","Return of SW winds to the area","Increased humidities and small chance of wetting rain. ","Ligera bruma esta mañana con mejoras en las condiciones a lo largo del día. Bajo potencial de que el humo marino regrese a la zona a medida que los vientos disminuyan esta noche.","Los vientos esta mañana aumentarán las cenizas y escombros suspendidos en el aire.","Regreso de los vientos del suroeste a la zona","Aumento de la humedad y pequeña posibilidad de lluvia que moje."
"N-NE winds will continue to sweep smoke concentrations offshore until this afternoon.  Expect a light inversion layer that will hold smoke tonight.","Return of hazy skies and MOD after today's wind event passes","SW winds predicted bringing offshore smoke back into the area","Higher humidity and low chance of precipitation","Los vientos N-NE continuarán llevando las concentraciones de humo hacia mar abierto hasta esta tarde. Espere una ligera capa de inversión que retendrá el humo esta noche.","Regreso de cielos brumosos y MODERADA después de que pase el evento de viento de hoy.","Se pronostican vientos del suroeste que traerán de vuelta el humo marítimo a la zona.","Mayor humedad y baja probabilidad de precipitación"
"N-NE winds will continue to sweep smoke concentrations offshore until this afternoon.  Expect a light inversion layer that will hold smoke tonight.","Return of hazy skies and MOD after today's wind event passes","SW winds predicted bringing offshore smoke back into the area","Higher humidity and low chance of precipitation","Los vientos N-NE continuarán desplazando las concentraciones de humo hacia mar abierto hasta esta tarde. Espere una ligera capa de inversión que retendrá el humo esta noche.","Regreso de cielos brumosos y MODERADA después de que pase el evento de viento de hoy.","Se pronostican vientos del suroeste que traerán de vuelta el humo marítimo hacia el área.","Mayor humedad y baja probabilidad de precipitación."
"NE winds will help channel the smoke towards the coast for most of the day. Limited potential for additional smoke from Eaton fire. ","Potential for hazy MODERATE surface conditions tonight","","Increasing humidity with limited potential for wetting rains. ","Los vientos del NE ayudarán a canalizar el humo hacia la costa durante la mayor parte del día. Potencial limitado para humo adicional del incendio de Eaton.","Potencial para condiciones superficiales MODERADAS y brumosas esta noche.","","Aumento de la humedad con potencial limitado para lluvias que humedezcan."
"Overnight smoke pooling expected to mix during daytime hours. Generally GOOD air quality conditions expected.","Haze is likely with limited surface smoke impacts. Expect daytime concentrations to be GOOD and a slight increase to MODERATE in the evening hours and overnight.","The established wind pattern from the last few days will end. Smoke expected in the early morning and late evening hours.","Humidity values expected to increase into the weekend and suppress new fire activity.","Se espera que el humo acumulado durante la noche se mezcle durante las horas del día. En general, se esperan condiciones de calidad del aire BUENO.","Es probable que haya neblina con impactos limitados de humo en la superficie. Se espera que las concentraciones durante el día sean BUENAS y que haya un ligero aumento a MODERADA durante las horas de la noche y la madrugada.","El patrón de viento establecido en los últimos días terminará. Se espera humo en las primeras horas de la mañana y en las últimas horas de la tarde.","Se espera que los valores de humedad aumenten durante el fin de semana y supriman la actividad de nuevos incendios."
"Strong NE winds expected in the morning with the bulk of the smoke remaining aloft. Expect haze but generally GOOD air quality.","Visible haze is anticipated but minimal smoke concentrations are expected at the surface.","Visible haze is anticipated but minimal smoke concentrations are expected at the surface.","A new wind pattern establishes this weekend which brings air in from the coast that should increase the relative humidity values and suppress new fire activity.","Se esperan fuertes vientos del NE por la mañana con la mayor parte del humo permaneciendo en altitud. Espere neblina pero en general una calidad del aire BUENA.","Se anticipa neblina visible pero se esperan concentraciones mínimas de humo en la superficie.","Se anticipa neblina visible pero se esperan concentraciones mínimas de humo en la superficie.","Un nuevo patrón de viento se establece este fin de semana, que trae aire desde la costa que debería aumentar los valores de humedad relativa y suprimir la actividad de nuevos incendios."
"No surface smoke impact is expected. Expect haze but GOOD air quality conditions.","No surface smoke impact expected, but haze is likely.","The wind event from earlier this week concludes today. Expect GOOD surface air quality conditions but haze is visible aloft.","Winds are anticipated to shift to bring humid air to the region from the coast this weekend which should suppress new fire activity.","No se espera impacto de humo en la superficie. Espere neblina pero condiciones de calidad del aire BUENO.","No se espera impacto de humo en la superficie, pero es probable que haya neblina.","El evento de viento de principios de esta semana concluye hoy. Espere condiciones de calidad del aire superficial BUENO, pero hay neblina visible en altura.","Se anticipa que los vientos cambiarán para traer aire húmedo a la región desde la costa este fin de semana, lo que debería suprimir la actividad de nuevos incendios."
"Expect generally hazy visibility conditions throughout the day, but GOOD air quality conditions.","Primary smoke impacts expected to remain at terrain height with generally GOOD air quality at the surface.","Smoke concentration maximums expected to remain lofted.","Flow from the ocean towards the LA Basin expected to increase relative humidity values and suppress new fire activity and smoke production.","Espere condiciones de visibilidad generalmente brumosas durante todo el día, pero condiciones de calidad del aire BUENO.","Se espera que los principales impactos del humo permanezcan a la altura del terreno con una calidad del aire generalmente BUENA en la superficie.","Se espera que las concentraciones máximas de humo permanezcan elevadas.","Se espera que el flujo desde el océano hacia la cuenca de LA aumente los valores de humedad relativa y suprima la actividad de nuevos incendios y la producción de humo."
"Overnight smoke pooling expected to mix during daytime hours. Generally GOOD air quality conditions expected.","The established smoke pooling pattern continues today. Expect elevated concentrations overnight that mix out during the daytime hours.","Established pattern of higher smoke concentrations at night and mixing to GOOD air quality during the day expected to continue.","A wind shift into the weekend is expected to bring humid air into the region from the coast. The additional moisture should suppress new fire activity and limit smoke production.","Se espera que el humo acumulado durante la noche se mezcle durante las horas del día. Se esperan condiciones de calidad del aire generalmente BUENAS.","El patrón establecido de acumulación de humo continúa hoy. Espere concentraciones elevadas durante la noche que se dispersan durante las horas del día.","Se espera que continúe el patrón establecido de mayores concentraciones de humo por la noche y mezcla a calidad del aire BUENA durante el día.","Se espera que un cambio de viento hacia el fin de semana traiga aire húmedo a la región desde la costa. La humedad adicional debería suprimir la actividad de nuevos incendios y limitar la producción de humo."
"Strong winds from the NE expected to continue today, but maximum smoke concentrations should remain aloft. Expect GOOD air quality at the surface.","Maximum smoke concentrations should remain above surface level throughout the day.","Strong winds die down today. Smoke production anticipated to remain minimal and air quality to remain GOOD.","Established wind pattern from this week is expected to reverse and funnel air in from the ocean. This should bring higher humidity values into the area which is expected to suppress fire activity.","Se espera que los fuertes vientos del NE continúen hoy, pero las máximas concentraciones de humo deberían permanecer en lo alto. Se espera una calidad del aire BUENA en la superficie.","Las concentraciones máximas de humo deberían permanecer por encima del nivel de la superficie durante todo el día.","Los vientos fuertes disminuirán hoy. Se anticipa que la producción de humo permanezca mínima y la calidad del aire se mantenga BUENA.","Se espera que el patrón de viento establecido de esta semana se invierta y canalice el aire desde el océano. Esto debería traer valores de humedad más altos a la zona, lo que se espera que suprima la actividad de los incendios."
"Overnight smoke pooling expected to mix during daytime hours. Generally GOOD air quality conditions expected.","Haze is likely with limited surface smoke impacts. Expect daytime concentrations to be GOOD and a slight increase to MODERATE in the evening hours and overnight.","The established wind pattern from the last few days will end. Smoke expected in the early morning and late evening hours.","Humidity values expected to increase into the weekend and suppress new fire activity.","Se espera que el humo acumulado durante la noche se mezcle durante las horas del día. En general, se esperan condiciones de calidad del aire BUENA.","Es probable que haya bruma con impactos limitados de humo en la superficie. Se espera que las concentraciones durante el día sean BUENAS y que haya un ligero aumento a MODERADAS en horas durante el anochecer y la madrugada.","El patrón de viento establecido en los últimos días terminará. Se espera humo en las primeras horas de la mañana y al final del anochecer.","Se espera que los valores de humedad aumenten durante el fin de semana y supriman la actividad de nuevos incendios."
"Strong NE winds expected in the morning with the bulk of the smoke remaining aloft. Expect haze but generally GOOD air quality.","Visible haze is anticipated but minimal smoke concentrations are expected at the surface.","Visible haze is anticipated but minimal smoke concentrations are expected at the surface.","A new wind pattern establishes this weekend which brings air in from the coast that should increase the relative humidity values and suppress new fire activity.","Se esperan fuertes vientos del NE por la mañana con la mayor parte del humo permaneciendo en lo alto. Se espera bruma pero en general una calidad del aire BUENA.","Se anticipa bruma visible pero se esperan concentraciones mínimas de humo en la superficie.","Se anticipa bruma visible pero se esperan concentraciones mínimas de humo en la superficie.","Un nuevo patrón de viento se establecerá este fin de semana, lo que trae aire desde la costa que debería aumentar los valores de humedad relativa y suprimir la actividad de nuevos incendios."
"No surface smoke impact is expected. Expect haze but GOOD air quality conditions.","No surface smoke impact expected, but haze is likely.","The wind event from earlier this week concludes today. Expect GOOD surface air quality conditions but haze is visible aloft.","Winds are anticipated to shift to bring humid air to the region from the coast this weekend which should suppress new fire activity.","No se espera impacto de humo en la superficie. Se espera bruma pero condiciones de calidad del aire BUENAS.","No se espera impacto de humo en la superficie, pero es probable que haya bruma.","El evento de viento de principios de esta semana concluye hoy. Se esperan condiciones de calidad del aire BUENAS en la superficie, pero hay bruma visible en lo alto.","Se anticipa que los vientos cambiarán para traer aire húmedo a la región desde la costa este fin de semana, lo que debería suprimir la actividad de nuevos incendios."
"Overnight smoke pooling expected to mix during daytime hours. Generally GOOD air quality conditions expected.","The established smoke pooling pattern continues today. Expect elevated concentrations overnight that mix out during the daytime hours.","Established pattern of higher smoke concentrations at night and mixing to GOOD air quality during the day expected to continue.","A wind shift into the weekend is expected to bring humid air into the region from the coast. The additional moisture should suppress new fire activity and limit smoke production.","Se espera que el humo acumulado durante la noche se mezcle durante las horas del día. Se esperan condiciones de calidad del aire generalmente BUENAS.","El patrón establecido de acumulación de humo continúa hoy. Se esperan concentraciones elevadas durante la noche que se dispersarán durante las horas del día.","Se espera que continúe el patrón establecido de mayores concentraciones de humo por la noche y mezcla a calidad del aire BUENA durante el día.","Se espera que un cambio de viento hacia el fin de semana traiga aire húmedo a la región desde la costa. La humedad adicional debería suprimir la actividad de nuevos incendios y limitar la producción de humo."
"Expect generally hazy visibility conditions throughout the day, but GOOD air quality conditions.","Primary smoke impacts expected to remain at terrain height with generally GOOD air quality at the surface.","Smoke concentration maximums expected to remain lofted.","Flow from the ocean towards the LA Basin expected to increase relative humidity values and suppress new fire activity and smoke production.","Se esperan condiciones de visibilidad generalmente brumosas durante todo el día, pero condiciones de calidad del aire BUENA.","Se espera que los principales impactos del humo permanezcan a la altura del terreno con una calidad del aire generalmente BUENA en la superficie.","Se espera que las concentraciones máximas de humo permanezcan elevadas.","Se espera que el flujo desde el océano hacia la cuenca de LA aumente los valores de humedad relativa y suprima la actividad de nuevos incendios y la producción de humo."
"NE winds will push interior smoke sources to the west, bringing short periods of haze and MODERATE impacts. ","Low winds may bring MOD smoke pooling in the canyon tonight","Return of SW winds predicted","Increasing humidity with low potential for wetting rains.","Los vientos del NE empujarán las fuentes de humo del interior hacia el oeste, trayendo períodos cortos de bruma e impactos MODERADOS.","Los vientos bajos pueden causar acumulación de humo MODERADO en el cañón esta noche.","Regreso de vientos del suroeste pronosticado.","Aumento de la humedad con bajo potencial para lluvias humedas."
"NE winds will help channel the smoke towards the coast for most of the day. Limited potential for additional smoke from Eaton fire. ","Potential for hazy MODERATE surface conditions tonight","","Increasing humidity with limited potential for wetting rains. ","Los vientos del NE ayudarán a canalizar el humo hacia la costa durante la mayor parte del día. Potencial limitado para humo adicional del incendio Eaton.","Potencial para condiciones MODERADAS y brumosas en la superficie esta noche.","","Aumento de la humedad con potencial limitado para lluvias húmedas."
"Light haze this AM with limited smoke impacts.  ","","","","Ligera bruma en esta mañana con impactos limitados de humo.","","",""
"SW winds will return some of the offshore smoke to the area this evening.","Return of hazy skies and MOD after today's wind event passes","SW winds predicted bringing offshore smoke back into the area","Higher humidity and low chance of precipitation","Los vientos del suroeste devolverán algo del humo marino a la zona al anochecer.","Regresan los cielos brumosos y MODERADO después de que pase el evento de viento de hoy.","Se pronostican vientos del suroeste que traerán de vuelta el humo marítimo a la zona.","Mayor humedad y baja probabilidad de precipitación."
"SW winds will return some of the offshore smoke to the area this evening.","Strong potential for increasing surface impacts tonight. ","","Higher humidity and low chance of precipitation","Los vientos del suroeste devolverán algo del humo marino a la zona al anochecer.","Gran potencial de aumento en los impactos en la superficie esta noche.","","Mayor humedad y baja probabilidad de precipitación."
"N-NE winds will continue to sweep smoke concentrations offshore until this afternoon.  Expect a light inversion layer that will hold smoke tonight.","Return of hazy skies and MOD after today's wind event passes","SW winds predicted bringing offshore smoke back into the area","Higher humidity and low chance of precipitation","Los vientos N-NE continuarán llevando las concentraciones de humo hacia el mar hasta esta tarde. Se espera una ligera capa de inversión que retendrá el humo esta noche.","Regreso a cielos brumosos y MODERADOS después de que pase el evento de viento de hoy.","Se pronostican vientos del suroeste que traerán de vuelta el humo marítimo a la zona.","Mayor humedad y baja probabilidad de precipitación"
"Light haze this AM with improving conditions throughout the day.  Low potential for offshore smoke to return to the area as winds decrase tonight. ","Winds this AM will increase suspended blowing ash and debris. ","Return of SW winds to the area","Increased humidities and small chance of wetting rain. ","Ligera bruma en esta mañana con mejoras en las condiciones a lo largo del día. Bajo potencial de que el humo marino regrese al área a medida que los vientos disminuyan esta noche.","Los vientos esta mañana aumentarán la ceniza y los escombros suspendidos en el aire.","Regreso de los vientos del suroeste al área.","Aumento de la humedad y pequeña posibilidad de lluvia húmeda."
"N-NE winds will continue to sweep smoke concentrations offshore until this afternoon.  Expect a light inversion layer that will hold smoke tonight.","Return of hazy skies and MOD after today's wind event passes","SW winds predicted bringing offshore smoke back into the area","Higher humidity and low chance of precipitation","Los vientos N-NE continuarán desplazando las concentraciones de humo hacia mar hasta esta tarde. Se espera una ligera capa de inversión que retendrá el humo esta noche.","Regreso de cielos brumosos y MODERADOS después de que pase el evento de viento de hoy.","Se pronostican vientos del suroeste que traerán de vuelta el humo marítimo hacia el área.","Mayor humedad y baja probabilidad de precipitación."
"N-NE winds will continue to sweep smoke concentrations offshore until this afternoon.  Expect a light inversion layer that will hold smoke tonight.","Return of hazy skies and MOD after today's wind event passes","SW winds predicted bringing offshore smoke back into the area","Higher humidity and low chance of precipitation","Los vientos N-NE continuarán llevando las concentraciones de humo hacia el mar hasta esta tarde. Se espera una ligera capa de inversión que retendrá el humo esta noche.","Regreso a cielos brumosos y MODERADOS después de que pase el evento de viento de hoy.","Se pronostican vientos del suroeste que traerán de vuelta el humo marítimo a la zona.","Mayor humedad y baja probabilidad de precipitación"
"N-NE winds will continue to sweep smoke concentrations offshore until this afternoon.  Expect a light inversion layer that will hold smoke tonight.","Return of hazy skies and MOD after today's wind event passes","SW winds predicted bringing offshore smoke back into the area","Higher humidity and low chance of precipitation","Los vientos N-NE continuarán desplazando las concentraciones de humo hacia mar hasta esta tarde. Se espera una ligera capa de inversión que retendrá el humo esta noche.","Regreso de cielos brumosos y MODERADOS después de que pase el evento de viento de hoy.","Se pronostican vientos del suroeste que traerán de vuelta el humo marítimo hacia el área.","Mayor humedad y baja probabilidad de precipitación."
"Light haze this AM with limited smoke impacts.  ","","","","Ligera bruma en esta mañana con impactos limitados de humo.","","",""
"NE winds will help channel the smoke towards the coast for most of the day. Limited potential for additional smoke from Eaton fire. ","Potential for hazy MODERATE surface conditions tonight","","Increasing humidity with limited potential for wetting rains. ","Los vientos del NE ayudarán a canalizar el humo hacia la costa durante la mayor parte del día. Potencial limitado para humo adicional del incendio Eaton.","Potencial para condiciones MODERADAS y brumosas en la superficie esta noche.","","Aumento de la humedad con potencial limitado para lluvias húmedas."
"NE winds will push interior smoke sources to the west, bringing short periods of haze and MODERATE impacts. ","Low winds may bring MOD smoke pooling in the canyon tonight","Return of SW winds predicted","Increasing humidity with low potential for wetting rains.","Los vientos del NE empujarán las fuentes de humo del interior hacia el oeste, trayendo períodos cortos de bruma e impactos MODERADOS.","Los vientos bajos pueden causar acumulación de humo MODERADO en el cañón esta noche.","Regreso de vientos del suroeste pronosticado.","Aumento de la humedad con bajo potencial para lluvias humedas."
"Light haze this AM with limited smoke impacts most of the day.  Potential for patchy fog and smoke settling into the area in PM","","","","Bruma ligera esta mañana con impactos limitados de humo durante la mayor parte del día. Potencial de niebla dispersa y humo asentándose en el área por la tarde.","","",""
"Light haze this AM with improving conditions throughout the day.  Low potential for offshore smoke to return to the area as winds decrase tonight. ","Winds this AM will increase suspended blowing ash and debris. ","Return of SW winds to the area","Increased humidities and small chance of wetting rain. ","Ligera bruma en esta mañana con mejoras en las condiciones en el día. Bajo potencial que humo marino regrese al área ya que los vientos disminuyen esta noche.","Los vientos esta mañana aumentarán la ceniza y los escombros suspendidos en el aire.","Regreso de los vientos del suroeste al área.","Aumento de la humedad y pequeña posibilidad de lluvia húmeda."
"Light haze this AM with limited smoke impacts most of the day.  Potential for patchy fog and smoke settling into the area in PM","","","","Ligera neblina esta mañana con impactos limitados de humo durante la mayor parte del día. Potencial de niebla dispersa y humo asentándose en el área por la tarde.","","",""
"SW winds will return some of the offshore smoke to the area this evening.","Strong potential for increasing surface impacts tonight. ","","Higher humidity and low chance of precipitation","Los vientos del suroeste devolverán algo del humo marino a la zona esta tarde.","Gran potencial para aumentar los impactos en la superficie esta noche.","","Mayor humedad y baja probabilidad de precipitación."
"SW winds will return some of the offshore smoke to the area this evening.","Potential for hazy MODERATE surface conditions tonight","","Increasing humidity with limited potential for wetting rains. ","Los vientos del suroeste traerán de vuelta algo del humo marino a la zona esta tarde.","Potencial para condiciones superficiales MODERADAS y brumosas esta noche.","","Aumento de la humedad con potencial limitado para lluvias que humedezcan."
"SW winds will return some of the offshore smoke to the area this evening.","Return of hazy skies and MOD after today's wind event passes","SW winds predicted bringing offshore smoke back into the area","Higher humidity and low chance of precipitation","Los vientos del suroeste devolverán algo del humo marino a la zona esta tarde.","Regreso de cielos brumosos y MODERADA después de que pase el evento de viento de hoy.","Se pronostican vientos del suroeste que traerán de vuelta el humo marítimo a la zona.","Mayor humedad y baja probabilidad de precipitación."
"SW winds will return some of the offshore smoke to the area this evening.","Low winds may bring MOD smoke pooling in the canyon tonight","Return of SW winds predicted","Increasing humidity with low potential for wetting rains.","Los vientos del suroeste traerán de vuelta algo del humo marino a la zona esta tarde.","Los vientos bajos pueden traer acumulación de humo MODERADA en el cañón esta noche.","Regreso de vientos del suroeste pronosticado","Aumento de la humedad con bajo potencial de lluvias que mojen."
"SW winds will push light smoke concentrations and ashfall back into the palisades.  Deep canyons can expect smoke to settle under the marine layer this evening. ","","","N-NE winds may be moving back into the area bringing blowing dust and ashfall.","Los vientos del suroeste empujarán concentraciones ligeras de humo y caída de cenizas de nuevo hacia los palisades. Los cañones profundos pueden esperar que el humo se asiente bajo la capa marina esta tarde.","","","Los vientos del N-NE podrían estar regresando al área trayendo polvo en suspensión y caída de cenizas."
"Overnight smoke pooling expected to mix during daytime hours. Generally GOOD air quality conditions expected in the day and patchy fog overnight.","The established wind pattern from the last few days will end. Smoke expected to pool in the early morning and late evening hours. May see some additional smoke impacts from the Palisades Fire in the afternoon.","The pattern of smoke pooling overnight with mixing in the day is expected again today. May see some additional smoke impacts from the Palisades Fire in the afternoon.","Humidity values expected to increase into the weekend and suppress new fire activity.","Se espera acumulación de humo durante la noche que se mezclará durante las horas del día. En general, se esperan condiciones de calidad del aire BUENO durante el día y niebla dispersa durante la noche.","El patrón de viento establecido en los últimos días terminará. Se espera que el humo se acumule en las primeras horas de la mañana y en las últimas horas de la tarde. Podríamos ver algunos impactos adicionales de humo provenientes del Incendio de Palisades en la tarde.","Se espera nuevamente hoy el patrón de acumulación de humo durante la noche con mezcla durante el día. Podríamos ver algunos impactos adicionales de humo provenientes del Incendio de Palisades en la tarde.","Se espera que los valores de humedad aumenten durante el fin de semana y supriman la actividad de nuevos incendios."
"Daily pattern establishes of offshore winds in the morning and coastal winds in the evening. Expect haze but generally GOOD air quality.","Visible haze is anticipated but minimal smoke concentrations are expected at the surface. Relative humidity values begin to increase today.","Visible haze is anticipated but minimal smoke concentrations are expected at the surface. Relative humidity values are expected to continue to increase today. ","Humid air settles into the region which is expected to minimize new smoke production. Expect continued GOOD air quality.","El patrón diario se establece con vientos costeros por la mañana y vientos costeros por la tarde. Espere neblina pero en general una calidad del aire BUENA.","Se anticipa neblina visible pero se esperan concentraciones mínimas de humo en la superficie. Los valores de humedad relativa comienzan a aumentar hoy.","Se anticipa neblina visible, pero se esperan concentraciones mínimas de humo en la superficie. Se espera que los valores de humedad relativa continúen aumentando hoy.","El aire húmedo se asienta en la región, lo que se espera que minimice la producción de nuevo humo. Se espera que continúe la calidad del aire BUENA."
"Expect generally hazy visibility conditions throughout the day, but GOOD air quality conditions.","Primary smoke impacts expected to remain at terrain height with generally GOOD air quality at the surface. Humid air begins to funnel into the area today.","Smoke concentration maximums expected to remain lofted.","Flow from the ocean towards the LA Basin expected to increase relative humidity values and suppress new fire activity and smoke production.","Espere condiciones de visibilidad generalmente brumosas durante todo el día, pero condiciones de calidad del aire BUENO.","Se espera que los principales impactos del humo permanezcan a la altura del terreno con una calidad del aire generalmente BUENA en la superficie. El aire húmedo comienza a canalizarse hacia el área hoy.","Se espera que las concentraciones máximas de humo permanezcan elevadas.","Se espera que el flujo desde el océano hacia la Cuenca de Los Ángeles aumente los valores de humedad relativa y suprima la actividad de nuevos incendios y la producción de humo."
"Overnight smoke pooling expected to mix during daytime hours. Generally GOOD air quality conditions expected with areas of patchy fog overnight.","The established smoke pooling pattern continues today. Expect elevated concentrations overnight that mix out during the daytime hours.","Smoke continues to pool against the benches in the overnight and early morning hours. Expect the afternoon mixing pattern experienced the last few days to continue.","The humid air that has been funneling into the area the last few days will hang out all weekend. The additional moisture should suppress new fire activity and limit smoke production.","Se espera que el humo acumulado durante la noche se mezcle durante las horas del día. En general, se esperan condiciones de calidad del aire BUENO con áreas de niebla dispersa durante la noche.","El patrón establecido de acumulación de humo continúa hoy. Espere concentraciones elevadas durante la noche que se dispersan durante las horas del día.","El humo continúa acumulándose contra los bancos durante las horas de la noche y primeras horas de la mañana. Espere que el patrón de mezcla de la tarde que se ha experimentado en los últimos días continúe.","El aire húmedo que ha estado ingresando en el área los últimos días permanecerá durante todo el fin de semana. La humedad adicional debería suprimir la actividad de nuevos incendios y limitar la producción de humo."
